                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.76598,                0.36659,                0.96297,                  0.983,                 0.9861,                0.99342,                0.77106,                0.87181,                0.36445,                 1.0195,             0.00045246,             0.00045246,             0.00045246
                     77,                0.75954,                0.36362,                0.95123,                0.98024,                0.98142,                0.99064,                0.76322,                0.87069,                0.36492,                 1.0167,             0.00044893,             0.00044893,             0.00044893
                     78,                0.77746,                0.36897,                0.96624,                0.98683,                0.98156,                0.99411,                0.76637,                0.89121,                 0.3439,                   1.02,             0.00044539,             0.00044539,             0.00044539
                     79,                0.78731,                0.36978,                0.96279,                0.98693,                0.98682,                0.99408,                0.76871,                0.88849,                0.33852,                 1.0124,             0.00044186,             0.00044186,             0.00044186
                     80,                0.77943,                 0.3672,                0.96282,                0.98367,                0.99234,                0.99399,                0.76909,                 0.8886,                0.35123,                 1.0202,             0.00043832,             0.00043832,             0.00043832
                     81,                0.74351,                0.35031,                0.94736,                0.98617,                0.98529,                0.99423,                0.76965,                0.87702,                0.33472,                 1.0117,             0.00043479,             0.00043479,             0.00043479
                     82,                0.75419,                  0.358,                0.95066,                0.98608,                0.98275,                 0.9909,                0.76353,                 0.8595,                0.34339,                 1.0019,             0.00043126,             0.00043126,             0.00043126
                     83,                0.76108,                0.36018,                0.95272,                0.98378,                0.98588,                 0.9925,                0.76809,                0.86416,                0.34883,                 1.0089,             0.00042772,             0.00042772,             0.00042772
                     84,                0.76492,                   0.36,                0.96218,                0.98797,                0.98423,                0.99354,                0.77124,                0.86372,                0.34888,                 1.0208,             0.00042419,             0.00042419,             0.00042419
                     85,                0.75864,                0.36211,                0.96231,                0.98115,                0.99037,                0.99188,                0.76525,                0.86365,                0.34909,                 1.0199,             0.00042065,             0.00042065,             0.00042065
                     86,                 0.7545,                0.36421,                0.96384,                0.98632,                0.98641,                0.99242,                0.77045,                 0.8647,                0.34383,                 1.0225,             0.00041712,             0.00041712,             0.00041712
                     87,                0.74011,                0.35503,                0.95714,                0.98901,                0.98095,                0.99353,                0.77251,                0.87309,                 0.3443,                 1.0184,             0.00041358,             0.00041358,             0.00041358
                     88,                0.74204,                0.36248,                0.94696,                0.98601,                0.98079,                0.99323,                0.77321,                  0.874,                0.35969,                 1.0192,             0.00041005,             0.00041005,             0.00041005
                     89,                0.74984,                0.35918,                0.95464,                0.98596,                0.98563,                0.99374,                0.77507,                 0.8724,                 0.3432,                 1.0171,             0.00040652,             0.00040652,             0.00040652
                     90,                0.76212,                 0.3616,                0.95868,                 0.9815,                0.98346,                0.99302,                0.77099,                0.87819,                0.35127,                 1.0282,             0.00040298,             0.00040298,             0.00040298
                     91,                0.73468,                0.35714,                0.95291,                0.98388,                0.98598,                0.99315,                0.76647,                0.88596,                0.34125,                 1.0315,             0.00039945,             0.00039945,             0.00039945
                     92,                0.74463,                0.35532,                 0.9622,                0.98531,                0.99026,                0.99411,                0.77252,                0.87556,                0.33705,                 1.0305,             0.00039591,             0.00039591,             0.00039591
                     93,                0.75285,                0.35894,                0.96353,                0.98637,                0.97955,                0.99372,                0.77386,                0.87824,                0.33417,                 1.0208,             0.00039238,             0.00039238,             0.00039238
                     94,                0.72619,                 0.3508,                0.94874,                0.98349,                0.98827,                0.99293,                0.77136,                0.85305,                0.33662,                 1.0142,             0.00038884,             0.00038884,             0.00038884
                     95,                0.74803,                0.36025,                 0.9517,                0.98716,                0.98757,                0.99376,                0.77255,                0.86767,                0.33189,                 1.0189,             0.00038531,             0.00038531,             0.00038531
                     96,                0.72466,                0.34691,                0.94289,                0.98556,                0.98671,                 0.9935,                0.76841,                0.87828,                0.33551,                 1.0202,             0.00038178,             0.00038178,             0.00038178
